Data version,Climate station name,Province,Country,Station ID,Degree latitude,Degree longitude,UTC offset,Elevation
CWEC2011,MEDICINE HAT RCS,AB,CAN,3034485,50.03,-110.72,-7.00,715.0                                                      
ECCC station identifier,File source code (always 'B'),Year Month Day Hour (YYYYMMDDHH),Extraterrestrial irradiance / kJ/m2,Global horizontal irradiance / kJ/m2,Flag,Direct normal irradiance / kJ/m2,Flag,Diffuse horizontal irradiance / kJ/m2,Flag,Global horizontal illuminance / 100 lux,Flag,Direct normal illuminance / 100 lux,Flag,Diffuse horizontal illuminance / 100 lux,Flag,Zenith luminance / 100 Cd/m2,Flag,Minutes of sunshine / 0-60 minutes,Flag,Ceiling height / 10 m,Flag,Sky condition,Flag,Visibility / 100 m,Flag,Present Weather,Flag,Station pressure / 10 Pa,Flag,Dry bulb temperature / 0.1 C,Flag,Dew point temperature / 0.1 C,Flag,Wind direction / 0-359 degrees,Flag,Wind speed / 0.1 m/s,Flag,Total sky cover / 0-10 in tenths,Flag,Opaque sky cover / 0-10 in tenths,Flag,Snow cover (0 = no snow cover 1 = snow cover),Flag
3034485,B,2017010101,0,0,S,0,S,0,S,0,Q,0,Q,0,Q,9999,9,99,9,9999,9,9999,9,9999,9,99999999,9,9202,A,-76,A,-94,A,70,,36,,99,9,99,9,0,,
3034485,B,2017010102,0,0,S,0,S,0,S,0,Q,0,Q,0,Q,9999,9,99,9,9999,9,9999,9,9999,9,99999999,9,9235,A,-86,A,-106,A,60,,33,,99,9,99,9,0,,
3034485,B,2017010103,0,0,S,0,S,0,S,0,Q,0,Q,0,Q,9999,9,99,9,9999,9,9999,9,9999,9,99999999,9,9260,A,-95,A,-116,A,50,,25,,99,9,99,9,0,,
3034485,B,2017010104,0,0,S,0,S,0,S,0,Q,0,Q,0,Q,9999,9,99,9,9999,9,9999,9,9999,9,99999999,9,9276,A,-102,A,-125,A,40,,39,,99,9,99,9,0,,
3034485,B,2017010105,0,0,S,0,S,0,S,0,Q,0,Q,0,Q,9999,9,99,9,9999,9,9999,9,9999,9,99999999,9,9287,A,-109,A,-132,A,50,,31,,99,9,99,9,0,,
3034485,B,2017010106,0,0,S,0,S,0,S,0,Q,0,Q,0,Q,9999,9,99,9,9999,9,9999,9,9999,9,99999999,9,9297,A,-116,A,-140,A,40,,33,,99,9,99,9,0,,
3034485,B,2017010107,0,0,S,0,S,0,S,0,Q,0,Q,0,Q,9999,9,99,9,9999,9,9999,9,9999,9,99999999,9,9302,,-123,,-145,,20,,19,,99,9,99,9,0,,
3034485,B,2017010108,0,0,S,0,S,0,S,0,Q,0,Q,0,Q,9999,9,99,9,9999,9,9999,9,9999,9,99999999,9,9315,,-126,,-149,,40,,19,,99,9,99,9,0,,
3034485,B,2017010109,94,0,S,0,S,0,S,0,Q,0,Q,0,Q,9999,9,99,9,9999,9,9999,9,9999,9,99999999,9,9329,,-140,,-159,,20,,31,,99,9,99,9,0,,
3034485,B,2017010110,631,175,S,22,S,172,S,56,Q,4,Q,56,Q,9999,9,99,9,9999,9,9999,9,9999,9,99999999,9,9337,,-137,,-161,,20,,31,,99,9,99,9,0,,
3034485,B,2017010111,1096,380,S,292,S,316,S,120,Q,73,Q,105,Q,9999,9,99,9,9999,9,9999,9,9999,9,99999999,9,9344,,-139,,-161,,10,,36,,99,9,99,9,0,,
3034485,B,2017010112,1383,551,S,449,S,428,S,176,Q,123,Q,142,Q,9999,9,99,9,9999,9,9999,9,9999,9,99999999,9,9344,,-131,,-154,,30,,39,,99,9,99,9,0,,
3034485,B,2017010113,1471,557,S,332,S,461,S,179,Q,92,Q,152,Q,9999,9,99,9,9999,9,9999,9,9999,9,99999999,9,9342,,-120,,-153,,60,,19,,99,9,99,9,0,,
3034485,B,2017010114,1354,491,S,262,S,421,S,157,Q,71,Q,138,Q,9999,9,99,9,9999,9,9999,9,9999,9,99999999,9,9342,,-116,,-151,,80,,17,,99,9,99,9,0,,
3034485,B,2017010115,1042,413,S,419,S,327,S,130,Q,103,Q,109,Q,9999,9,99,9,9999,9,9999,9,9999,9,99999999,9,9345,,-111,,-145,,40,,8,,99,9,99,9,0,,
3034485,B,2017010116,554,180,S,164,S,162,S,57,Q,28,Q,53,Q,9999,9,99,9,9999,9,9999,9,9999,9,99999999,9,9348,,-115,,-144,,330,,17,,99,9,99,9,0,,
3034485,B,2017010117,52,14,S,0,S,14,S,5,Q,0,Q,5,Q,9999,9,99,9,9999,9,9999,9,9999,9,99999999,9,9353,,-116,,-140,,350,,14,,99,9,99,9,0,,
3034485,B,2017010118,0,0,S,0,S,0,S,0,Q,0,Q,0,Q,9999,9,99,9,9999,9,9999,9,9999,9,99999999,9,9356,,-118,,-141,,300,,19,,99,9,99,9,0,,
3034485,B,2017010119,0,0,S,0,S,0,S,0,Q,0,Q,0,Q,9999,9,99,9,9999,9,9999,9,9999,9,99999999,9,9358,,-120,,-141,,300,,14,,99,9,99,9,0,,
3034485,B,2017010120,0,0,S,0,S,0,S,0,Q,0,Q,0,Q,9999,9,99,9,9999,9,9999,9,9999,9,99999999,9,9361,,-123,,-143,,300,,11,,99,9,99,9,0,,
3034485,B,2017010121,0,0,S,0,S,0,S,0,Q,0,Q,0,Q,9999,9,99,9,9999,9,9999,9,9999,9,99999999,9,9365,,-151,,-169,,350,,17,,99,9,99,9,0,,
3034485,B,2017010122,0,0,S,0,S,0,S,0,Q,0,Q,0,Q,9999,9,99,9,9999,9,9999,9,9999,9,99999999,9,9368,,-159,,-173,,350,,17,,99,9,99,9,0,,
3034485,B,2017010123,0,0,S,0,S,0,S,0,Q,0,Q,0,Q,9999,9,99,9,9999,9,9999,9,9999,9,99999999,9,9372,,-157,,-172,,0,,22,,99,9,99,9,0,,
3034485,B,2017010124,0,0,S,0,S,0,S,0,Q,0,Q,0,Q,9999,9,99,9,9999,9,9999,9,9999,9,99999999,9,9375,,-166,,-181,,350,,14,,99,9,99,9,0,,
3034485,B,2017010201,0,0,S,0,S,0,S,0,Q,0,Q,0,Q,9999,9,99,9,9999,9,9999,9,9999,9,99999999,9,9377,,-164,,-179,,350,,6,,99,9,99,9,0,,
3034485,B,2017010202,0,0,S,0,S,0,S,0,Q,0,Q,0,Q,9999,9,99,9,9999,9,9999,9,9999,9,99999999,9,9379,,-171,,-189,,340,,11,,99,9,99,9,0,,
3034485,B,2017010203,0,0,S,0,S,0,S,0,Q,0,Q,0,Q,9999,9,99,9,9999,9,9999,9,9999,9,99999999,9,9383,,-178,,-196,,0,,17,,99,9,99,9,0,,
3034485,B,2017010204,0,0,S,0,S,0,S,0,Q,0,Q,0,Q,9999,9,99,9,9999,9,9999,9,9999,9,99999999,9,9384,,-184,,-201,,0,,17,,99,9,99,9,0,,
3034485,B,2017010205,0,0,S,0,S,0,S,0,Q,0,Q,0,Q,9999,9,99,9,9999,9,9999,9,9999,9,99999999,9,9388,,-194,,-211,,0,,11,,99,9,99,9,0,,
3034485,B,2017010206,0,0,S,0,S,0,S,0,Q,0,Q,0,Q,9999,9,99,9,9999,9,9999,9,9999,9,99999999,9,9392,,-203,,-220,,0,,11,,99,9,99,9,0,,
3034485,B,2017010207,0,0,S,0,S,0,S,0,Q,0,Q,0,Q,9999,9,99,9,9999,9,9999,9,9999,9,99999999,9,9399,,-205,,-222,,0,,8,,99,9,99,9,0,,
3034485,B,2017010208,0,0,S,0,S,0,S,0,Q,0,Q,0,Q,9999,9,99,9,9999,9,9999,9,9999,9,99999999,9,9405,,-208,,-225,,10,,8,,99,9,99,9,0,,
3034485,B,2017010209,95,0,S,0,S,0,S,0,Q,0,Q,0,Q,9999,9,99,9,9999,9,9999,9,9999,9,99999999,9,9412,,-208,,-224,,20,,14,,99,9,99,9,0,,
3034485,B,2017010210,633,355,S,1814,S,127,S,90,Q,350,Q,46,Q,9999,9,99,9,9999,9,9999,9,9999,9,99999999,9,9419,,-202,,-221,,0,,8,,99,9,99,9,0,,
